name,artist,danceability,energy,loudness,speechiness,acousticness,instrumentalness,tempo,valence,sentiment,predicted_mood
Me Porto Bonito,Bad Bunny,0.911,0.712,-5.105,0.0817,0.0901,2.68e-05,92.005,0.425,-0.7096,Excited
Anti-Hero,Taylor Swift,0.637,0.643,-6.571,0.0519,0.13,1.8e-06,97.008,0.533,-0.9923,Happy
As It Was,Harry Styles,0.52,0.731,-5.338,0.0557,0.342,0.00101,173.93,0.662,0.8746,Happy
CUFF IT,Beyoncé,0.78,0.689,-5.668,0.141,0.0368,9.69e-06,115.042,0.642,-0.9937,Excited
First Class,Jack Harlow,0.905,0.563,-6.135,0.102,0.0254,9.71e-06,106.998,0.324,0.9882,Excited
Glimpse of Us,Joji,0.44,0.317,-9.258,0.0531,0.891,4.78e-06,169.914,0.268,0.9658,Sad
Is There Someone Else?,The Weeknd,0.702,0.586,-7.83,0.0313,0.0388,7.27e-05,134.951,0.608,-0.9608,Happy
Tití Me Preguntó,Bad Bunny,0.65,0.715,-5.198,0.253,0.0993,0.000291,106.672,0.187,0.8676,Excited
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,0.621,0.782,-5.548,0.044,0.0125,0.033,128.033,0.55,-0.9931,Excited
Envolver,Anitta,0.812,0.736,-5.421,0.0833,0.152,0.00254,91.993,0.396,0.8834,Excited
Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,0.625,0.533,-11.903,0.0596,0.659,0.00266,108.296,0.139,0.91,Sad
Unholy (feat. Kim Petras),Sam Smith,0.714,0.472,-7.375,0.0864,0.013,4.51e-06,131.121,0.238,0.9921,Excited
Bad Habit,Steve Lacy,0.686,0.494,-7.093,0.0355,0.613,5.8e-05,168.946,0.7,0.962,Calm
Heat Waves,Glass Animals,0.761,0.525,-6.9,0.0944,0.44,6.7e-06,80.87,0.531,0.8853,Calm
Shivers,Ed Sheeran,0.788,0.859,-2.724,0.0856,0.281,0.0,141.02,0.822,0.9974,Happy
About Damn Time,Lizzo,0.836,0.743,-6.305,0.0656,0.0995,0.0,108.966,0.722,0.9079,Happy
Late Night Talking,Harry Styles,0.714,0.728,-4.595,0.0468,0.298,0.0,114.996,0.901,0.9655,Happy
Left and Right (Feat. Jung Kook of BTS),Charlie Puth,0.881,0.592,-4.898,0.0324,0.619,1.32e-05,101.058,0.719,0.833,Happy
Ghost,Justin Bieber,0.601,0.741,-5.569,0.0478,0.185,2.91e-05,153.96,0.441,0.899,Excited
THATS WHAT I WANT,Lil Nas X,0.737,0.846,-4.51,0.22,0.00614,0.0,87.981,0.546,0.9982,Excited
abcdefu,GAYLE,0.695,0.54,-5.692,0.0493,0.299,0.0,121.932,0.415,-0.9896,Calm
DESPECHÁ,ROSALÍA,0.919,0.623,-6.521,0.0992,0.184,1.63e-05,130.037,0.775,-0.836,Happy
Lavender Haze,Taylor Swift,0.733,0.436,-10.489,0.08,0.258,0.000573,96.985,0.0976,-0.9638,Sad
traitor,Olivia Rodrigo,0.38,0.339,-7.885,0.0338,0.691,0.0,100.607,0.0849,-0.963,Sad
Out of Time,The Weeknd,0.65,0.76,-4.422,0.0446,0.255,0.0,93.057,0.838,0.9954,Happy
Cold Heart - PNAU Remix,Elton John,0.795,0.8,-6.32,0.0309,0.0354,7.25e-05,116.032,0.934,-0.9952,Happy
Jimmy Cooks (feat. 21 Savage),Drake,0.529,0.673,-4.711,0.175,0.000307,2.41e-06,165.921,0.366,0.9481,Excited
Super Freaky Girl,Nicki Minaj,0.95,0.891,-2.653,0.241,0.0645,1.77e-05,133.01,0.912,-0.993,Excited
Boyfriend,Dove Cameron,0.345,0.612,-6.543,0.0608,0.232,0.0,179.773,0.232,0.9852,Sad
Pink Venom,BLACKPINK,0.798,0.697,-7.139,0.0891,0.0202,0.0,90.031,0.745,0.9823,Happy
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,0.736,0.704,-7.409,0.0615,0.0203,0.0,149.995,0.894,0.9974,Happy
Shirt,SZA,0.824,0.453,-9.604,0.0968,0.146,0.0273,119.959,0.552,-0.9952,Calm
Under The Influence,Chris Brown,0.733,0.69,-5.529,0.0427,0.0635,1.18e-06,116.992,0.31,0.9909,Excited
I Ain't Worried,OneRepublic,0.704,0.797,-5.927,0.0475,0.0826,0.000745,139.994,0.825,0.9922,Happy
Bam Bam (feat. Ed Sheeran),Camila Cabello,0.756,0.697,-6.377,0.0401,0.182,0.0,94.996,0.956,-0.9844,Happy
La Bachata,Manuel Turizo,0.835,0.679,-5.329,0.0364,0.583,1.98e-06,124.98,0.85,-0.9371,Happy
PROVENZA,KAROL G,0.87,0.516,-8.006,0.0541,0.656,0.00823,111.005,0.53,-0.351,Calm
MIDDLE OF THE NIGHT,Elley Duhé,0.41,0.611,-8.271,0.0467,0.0228,0.0,185.727,0.0899,0.5563,Sad
Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,0.728,0.783,-4.424,0.266,0.237,0.0,77.011,0.555,-0.9607,Excited
Massive,Drake,0.499,0.671,-6.774,0.0561,0.114,0.0169,124.994,0.0557,-0.8425,Sad
I Like You (A Happier Song) (with Doja Cat),Post Malone,0.733,0.67,-6.009,0.0751,0.121,0.0,100.964,0.472,0.956,Excited
Oh My God,Adele,0.534,0.725,-3.906,0.046,0.091,0.0,88.098,0.55,-0.2644,Happy
We Don't Talk About Bruno,Carolina Gaitán - La Gaita,0.577,0.45,-8.516,0.0834,0.357,0.0,205.863,0.83,1.0,Happy
Una Noche en Medellín,Cris Mj,0.87,0.548,-5.253,0.077,0.0924,4.6e-05,96.018,0.832,-0.8316,Happy
All For Us,Labrinth,0.46,0.66,-6.642,0.0652,0.0108,0.000139,141.722,0.18,0.9905,Excited
Where Are You Now,Lost Frequencies,0.671,0.636,-8.117,0.103,0.515,0.000411,120.966,0.262,0.9937,Calm
Sunroof,Nicky Youre,0.768,0.716,-5.11,0.0404,0.35,0.0,131.43,0.841,0.9727,Happy
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,0.637,0.715,-4.971,0.0455,0.148,0.0,141.872,0.308,0.3612,Excited
Infinity,Jaymes Young,0.671,0.673,-6.941,0.0444,0.148,5.29e-05,121.963,0.494,0.9982,Happy
good 4 u,Olivia Rodrigo,0.563,0.664,-5.044,0.154,0.335,0.0,166.928,0.688,0.9989,Calm
MAMIII,Becky G,0.843,0.7,-3.563,0.0803,0.0934,0.0,93.991,0.899,-0.9903,Happy
Sacrifice,The Weeknd,0.735,0.795,-6.523,0.113,0.0296,3.18e-05,122.0,0.905,0.9976,Happy
Sweetest Pie,Megan Thee Stallion,0.814,0.628,-7.178,0.221,0.167,0.0,123.977,0.677,-0.931,Excited
Ojitos Lindos,Bad Bunny,0.647,0.686,-5.745,0.0413,0.08,1.34e-06,79.928,0.268,-0.9849,Excited
Easy On Me,Adele,0.604,0.366,-7.519,0.0282,0.578,0.0,141.981,0.13,0.9893,Sad
Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,Rihanna,0.247,0.299,-6.083,0.0315,0.899,0.0,177.115,0.172,-0.9305,Sad
Snow On The Beach (feat. Lana Del Rey),Taylor Swift,0.663,0.319,-13.481,0.0375,0.69,0.000993,109.957,0.193,0.9982,Sad
One Right Now (with The Weeknd),Post Malone,0.687,0.781,-4.806,0.053,0.0361,0.0,97.014,0.688,0.9878,Happy
BREAK MY SOUL,Beyoncé,0.687,0.887,-5.04,0.0826,0.0575,2.21e-06,114.941,0.853,0.9973,Happy
Woman,Doja Cat,0.824,0.764,-4.175,0.0854,0.0888,0.00294,107.998,0.881,0.9277,Happy
Te Felicito,Shakira,0.695,0.636,-4.654,0.317,0.234,0.0,174.14,0.575,-0.9834,Excited
Shut Down,BLACKPINK,0.82,0.686,-5.102,0.038,0.00412,0.0,110.058,0.668,0.8561,Excited
Moscow Mule,Bad Bunny,0.804,0.674,-5.453,0.0333,0.294,1.18e-06,99.968,0.292,-0.9978,Calm
Save Your Tears (Remix) (with Ariana Grande) - Bonus Track,The Weeknd,0.65,0.825,-4.645,0.0325,0.0215,2.44e-05,118.091,0.593,0.9992,Excited
STAY (with Justin Bieber),The Kid LAROI,0.591,0.764,-5.484,0.0483,0.0383,0.0,169.928,0.478,-0.9154,Excited
29,Demi Lovato,0.322,0.698,-3.812,0.0542,0.00507,0.0,183.963,0.288,0.9904,Excited
When You're Gone,Shawn Mendes,0.603,0.691,-5.805,0.0372,0.0248,0.0,147.148,0.577,0.9608,Happy
The Joker And The Queen (feat. Taylor Swift),Ed Sheeran,0.528,0.309,-7.398,0.0329,0.924,2.1e-06,133.83,0.307,-0.9878,Sad
I’m Tired (with Zendaya) - Bonus Track,Labrinth,0.375,0.133,-10.624,0.0352,0.651,0.0,131.721,0.192,0.9967,Sad
Falling Back,Drake,0.718,0.758,-8.29,0.0703,0.238,0.00653,118.989,0.349,-0.9636,Excited
Notion,The Rare Occasions,0.309,0.883,-3.825,0.0808,0.0673,0.00111,159.488,0.312,0.9111,Excited
Light Switch,Charlie Puth,0.69,0.626,-5.693,0.306,0.105,0.000335,184.009,0.912,0.9976,Excited
Nail Tech,Jack Harlow,0.677,0.557,-8.409,0.0694,0.00508,8.36e-06,150.127,0.1,0.991,Excited
N95,Kendrick Lamar,0.79,0.67,-5.527,0.105,0.377,2.32e-06,139.956,0.408,-0.9993,Calm
WAIT FOR U (feat. Drake & Tems),Future,0.463,0.642,-4.474,0.34,0.314,0.0,83.389,0.339,0.5362,Calm
Honest (feat. Don Toliver),Justin Bieber,0.81,0.655,-6.779,0.0698,0.127,8.16e-05,150.002,0.809,0.8271,Happy
Fingers Crossed,Lauren Spencer Smith,0.603,0.473,-7.23,0.0511,0.616,0.0,109.494,0.446,0.9682,Calm
TV,Billie Eilish,0.412,0.236,-15.159,0.0379,0.83,0.00653,140.214,0.119,-0.948,Sad
she's all i wanna be,Tate McRae,0.614,0.644,-5.372,0.0426,0.0134,7.07e-06,160.036,0.651,-0.9983,Excited
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,0.697,0.336,-10.395,0.0424,0.598,0.00528,82.029,0.31,-0.9925,Sad
Yet To Come,BTS,0.559,0.885,-4.515,0.189,0.0432,0.0,172.029,0.683,0.9986,Excited
Vegas (From the Original Motion Picture Soundtrack ELVIS),Doja Cat,0.801,0.601,-7.574,0.255,0.0777,3.23e-05,159.969,0.74,-0.9305,Excited
Desesperados,Rauw Alejandro,0.869,0.694,-3.35,0.0783,0.356,0.00125,90.02,0.511,-0.986,Calm
The Heart Part 5,Kendrick Lamar,0.7,0.812,-8.128,0.297,0.183,0.0,97.405,0.801,0.9936,Happy
ALIEN SUPERSTAR,Beyoncé,0.545,0.641,-6.398,0.0998,0.00453,6.59e-05,121.892,0.464,0.9928,Excited
It'll Be Okay,Shawn Mendes,0.398,0.286,-11.881,0.033,0.616,0.000146,78.262,0.0666,0.9946,Sad
SKIN OF MY TEETH,Demi Lovato,0.458,0.947,-2.308,0.221,1.29e-05,0.0,130.941,0.478,-0.9848,Excited
SUMMER RENAISSANCE,Beyoncé,0.674,0.625,-9.593,0.0514,0.0843,0.0015,120.004,0.208,0.9993,Excited
I'm Good (Blue),David Guetta,0.561,0.965,-3.673,0.0343,0.00383,7.07e-06,128.04,0.304,0.9979,Excited
Hold Me Closer,Elton John,0.667,0.75,-4.602,0.0906,0.0746,0.000198,126.041,0.486,0.6808,Excited
Calm Down (with Selena Gomez),Rema,0.801,0.806,-5.206,0.0381,0.382,0.000669,106.999,0.802,0.9098,Happy
SNAP,Rosa Linn,0.565,0.636,-8.198,0.0638,0.107,9.9e-06,170.01,0.525,0.8457,Happy
Until I Found You,Stephen Sanchez,0.539,0.508,-6.05,0.0288,0.727,0.0,101.358,0.227,-0.9724,Sad
Made You Look,Meghan Trainor,0.838,0.525,-3.562,0.0665,0.345,1.92e-06,144.981,0.884,0.3919,Happy
Midnight Rain,Taylor Swift,0.643,0.363,-11.738,0.0767,0.69,5.17e-05,139.865,0.23,0.9968,Sad
Die Hard,Kendrick Lamar,0.775,0.736,-8.072,0.247,0.319,0.00116,100.988,0.362,0.9864,Excited
Big Energy,Latto,0.937,0.793,-4.431,0.115,0.0453,0.0,106.022,0.794,-0.998,Excited
Doja,Central Cee,0.911,0.573,-7.43,0.288,0.38,0.0,140.04,0.972,0.6087,Happy
pushin P (feat. Young Thug),Gunna,0.773,0.422,-4.572,0.187,0.00783,0.00693,77.502,0.488,-0.7759,Calm
Thousand Miles,The Kid LAROI,0.376,0.657,-4.658,0.0768,0.0858,0.0,80.565,0.203,-0.2658,Calm
